Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Contest Grade,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
.SCTimeline,1573.762,3.553000000000111,Red,3,+2,Box Touch 1,, | #0 Tommy Clark | #5 Myles Watkins | #14 Dom Murphy | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#0 Tommy Clark, #5 Myles Watkins, #14 Dom Murphy, #22 Darrius Bolden, #44 Jacob Wassler",,Reversal 0,Shot Qual 4,,,,
.SCTimeline,1586.797,17.011999999999944,Red,4,+2,Box Touch 1,, | #0 Tommy Clark | #5 Myles Watkins | #14 Dom Murphy | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#0 Tommy Clark, #5 Myles Watkins, #14 Dom Murphy, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 1,Shot Qual 4,,,,
.SCTimeline,1612.097,17.985000000000127,Red,5,"Deflection, Deflection",Box Touch 1,, | #0 Tommy Clark | #5 Myles Watkins | #14 Dom Murphy | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#0 Tommy Clark, #5 Myles Watkins, #14 Dom Murphy, #22 Darrius Bolden, #44 Jacob Wassler",,Reversal 2,"Foul Drawn, Shot Qual 4",,,,
.SCTimeline,1646.698,21.269999999999982,Red,6,-3,Box Touch 0,, | #0 Tommy Clark | #5 Myles Watkins | #14 Dom Murphy | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#0 Tommy Clark, #5 Myles Watkins, #14 Dom Murphy, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 2,Shot Qual 3,,,,
.SCTimeline,1665.968,4.022999999999911,Red,7,+2,Box Touch 1,, | #0 Tommy Clark | #5 Myles Watkins | #14 Dom Murphy | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#0 Tommy Clark, #5 Myles Watkins, #14 Dom Murphy, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 0,Shot Qual 4,,,,
.SCTimeline,1680.897,19.429000000000087,Red,8,-2,Box Touch 1,, | #0 Tommy Clark | #5 Myles Watkins | #14 Dom Murphy | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#0 Tommy Clark, #5 Myles Watkins, #14 Dom Murphy, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 1,Shot Qual 2,,,,
.SCTimeline,1740.497,12.058999999999969,Red,9,Deflection,Box Touch 0,, | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 1,No Shot,,,,
.SCTimeline,1769.598,12.721000000000004,Red,10,-2,Box Touch 0,, | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 0,Shot Qual 1,,,,
.SCTimeline,1780.319,17.29099999999994,Red,11,+2,Box Touch 1,, | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #22 Darrius Bolden, #44 Jacob Wassler",,Reversal 2,Shot Qual 4,,,,
.SCTimeline,1816.598,19.315000000000055,Red,12,-2,Box Touch 1,, | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 2,Shot Qual 1,,,,
.SCTimeline,1891.897,22.494000000000142,Red,13,+2,Box Touch 1,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 2,Shot Qual 3,,,,
.SCTimeline,2840.897,9.340999999999894,Red,14,+3,Box Touch 0,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #44 Jacob Wassler,Baseline Touch,"#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #44 Jacob Wassler",Transition,Reversal 0,Shot Qual 2,,,,
.SCTimeline,2897.798,19.59400000000005,Red,15,-3,Box Touch 0,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,Baseline Touch,"#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 0,Shot Qual 3,,,,
.SCTimeline,2931.616,18.490000000000236,Red,16,,Box Touch 0,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #44 Jacob Wassler,Baseline Touch,"#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #44 Jacob Wassler",Half Court ,Reversal 1,No Shot,,,,
.SCTimeline,3185.543,12.375,Red,17,+3,Box Touch 0,, | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #22 Darrius Bolden | #44 Jacob Wassler,Baseline Touch,"#5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 1,Shot Qual 3,,,,
