Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
251008,4219.898409208924,18.262514440076302,Red,15,+3,Box Touch 0, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #23 Sam Donald,5v5,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 3,,,,
251008,4483.196982470937,17.423047194063656,Red,16,-3,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #23 Sam Donald,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #23 Sam Donald",Half Court,Reversal 0,Shot Qual 3,,,,
251008,4504.198621150953,22.59187208404728,Red,17,,Box Touch 1, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #23 Sam Donald,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #23 Sam Donald",Half Court,Reversal 1,"Foul Drawn, Shot Qual 4",,,,
251008,4564.522265951,17.56216236900036,Red,18,Cut Assist,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #23 Sam Donald,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #23 Sam Donald",Half Court,Reversal 0,No Shot,,,,
251008,5255.698683318,28.71966628700011,Red,19,-2,Box Touch 0, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #15 Luke Anderson,5v5,"#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #15 Luke Anderson",Half Court,Reversal 0,Shot Qual 1,,,,
251008,5323.592233333334,21.987365385666635,Red,20,+2,Box Touch 1, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #15 Luke Anderson | #23 Sam Donald,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #15 Luke Anderson, #23 Sam Donald",Half Court,Reversal 0,Shot Qual 3,Teaching Clip,,,
251008,5367.197860808277,20.07626763672306,Red,21,-2,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #15 Luke Anderson | #23 Sam Donald,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #15 Luke Anderson, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 1,,,,
251008,5391.698566372263,15.158863024737002,Red,22,,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #15 Luke Anderson | #23 Sam Donald,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #15 Luke Anderson, #23 Sam Donald",Half Court,Reversal 0,No Shot,,,,
251008,5561.090851889,20.018680109999877,Red,23,+2,Box Touch 2, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #23 Sam Donald,5v5,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #23 Sam Donald",Half Court,Reversal 0,Shot Qual 3,,,,
251008,5669.998605679949,20.085529548051454,Red,24,-2,Box Touch 1, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #15 Luke Anderson | #23 Sam Donald,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #15 Luke Anderson, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 1,,,,
251008,5806.798727554924,10.802173597076035,Red,25,,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #15 Luke Anderson | #23 Sam Donald,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #15 Luke Anderson, #23 Sam Donald",Half Court,Reversal 0,No Shot,,,,
251008,6009.998224500638,15.690606856362137,Red,26,,Box Touch 1, | #0 Tommy Clark | #5 Myles Watkins | #14 Dom Murphy | #15 Luke Anderson | #23 Sam Donald,5v5,"#0 Tommy Clark, #5 Myles Watkins, #14 Dom Murphy, #15 Luke Anderson, #23 Sam Donald",Half Court,Reversal 1,No Shot,,,,
