Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,P&R SCREENER,P&R SCREENER MOVE,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v Chattanooga,1153.599,17.51800000000003,Full Game,59,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,1171.117,10.978000000000065,Full Game,60,-3,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,1182.095,14.514999999999873,Full Game,61,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,1196.61,20.472000000000207,Full Game,62,-2,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,1217.082,17.817999999999984,Full Game,63,"PaintTouch, -2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,1234.9,16.34999999999991,Full Game,64,+3,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,1251.25,20.08699999999999,Full Game,65,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
BU Defense v Chattanooga,1271.337,19.537000000000035,Full Game,66,"OREB, PaintTouch",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v Chattanooga,1290.874,19.86999999999989,Full Game,67,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,1310.744,12.746000000000095,Full Game,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
BU Defense v Chattanooga,1323.49,16.567000000000007,Full Game,69,"PaintTouch, -3",,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,1349.117,15.498000000000047,Full Game,70,"-2, OREB",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,1364.615,15.44900000000007,Full Game,71,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,1380.064,9.842999999999847,Full Game,72,,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v Chattanooga,1389.907,17.38499999999999,Full Game,73,-3,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,1407.292,12.297000000000025,Full Game,74,"PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Chattanooga,1419.589,17.151000000000067,Full Game,75,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,1436.74,13.59699999999998,Full Game,76,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
